Eyeshield 21,Sena,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Airdash,N/A,PASSIVE: Airdash
Eyeshield 21,Sena,2 Koma,2K (T2),Support,Knowledge (知),Instant,N/A,N/A,N/A,-1 SP Bar,N/A,Confusion,N/A,N/A,Ground Only,"ON HIT: Confusion, -1 SP BAR"
Eyeshield 21,Sena,3 Koma,3K (T3),Support,Knowledge (知),Instant,N/A,N/A,N/A,-2 SP Bar,N/A,Stop,N/A,N/A,Ground Only,"ON HIT: Stop, -2 SP BARS"
Eyeshield 21,Hiruma,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Attack/Defend opposing Nature
Eyeshield 21,Hiruma,2 Koma,2K (T2),Support,Knowledge (知),Fast,Average,Short,Low,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 42 DMG MAX
Eyeshield 21,Hiruma,3 Koma,3K (T6),Support,Knowledge (知),Instant,Average,Average,High,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 42 DMG MAX
Eyeshield 21,Kurita,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,No Pushback,N/A,N/A,N/A,N/A,N/A,NO PUSHBACK: Moving Platforms
Eyeshield 21,Kurita,2 Koma,2K (T1),Support,Power (力),Instant,Average,Short,Average,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 39 DMG MAX
Eyeshield 21,Kurita,3 Koma,3K (T3),Support,Power (力),Instant,Low,Average,Average,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 30 DMG MAX
Eyeshield 21,Monta,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Attack/Defend against Characters
Eyeshield 21,Monta,2 Koma,2K (T1),Support,Power (力),Average,N/A,N/A,N/A,N/A,SPD Up,N/A,N/A,N/A,Ground Only,BUFF: Speed Boost
Eyeshield 21,Monta,3 Koma,3K (T2),Support,Power (力),Slow,N/A,N/A,N/A,N/A,ATK Up,N/A,N/A,N/A,Ground/Air,"DROP: 4 HEAL, 1 ATK BOOST"
Eyeshield 21,Musashi,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,ATK Up,N/A,N/A,N/A,N/A,N/A,ATK UP: Low HP
Eyeshield 21,Musashi,2 Koma,2K (T1),Support,Power (力),Average,N/A,N/A,N/A,N/A,Toughen,N/A,N/A,N/A,Ground Only,BUFF: Toughen
Eyeshield 21,Musashi,3 Koma,3K (T6),Support,Power (力),Fast,High,Long,Average,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 51 DMG MAX
Eyeshield 21,Ha-Ha Brothers,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Combos
Eyeshield 21,Ha-Ha Brothers,2 Koma,2K (T1),Support,Laughter (笑),Instant,N/A,Short,N/A,-2 SP Bar,N/A,Stop,N/A,N/A,Ground Only,"ON HIT: Stop, -2 SP BARS"
Eyeshield 21,Ha-Ha Brothers,3 Koma,3K (T1),Support,Power (力),Fast,Average,Short,Average,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 48 DMG MAX
Eyeshield 21,Shin,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Parry
Eyeshield 21,Shin,2 Koma,2K (T1),Support,Power (力),Average,N/A,N/A,N/A,N/A,ATK Up,N/A,N/A,N/A,Ground Only,BUFF: Attack Boost
Eyeshield 21,Shin,3 Koma,3K (T2),Support,Power (力),Instant,High,Long,Low,N/A,N/A,N/A,N/A,N/A,Ground Only,ON HIT: 51 DMG MAX
Eyeshield 21,Devil Bat,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Triple Jump,N/A,PASSIVE: Triple Jump
Eyeshield 21,Devil Bat,3 Koma,3K (T1),Support,Laughter (笑),Instant,Low,Short,None,Stay (Assist),N/A,N/A,N/A,N/A,Ground Only,STAY: Extra Attacks
Eyeshield 21,Cerberus,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Destroying Boxes
Eyeshield 21,Cerberus,3 Koma,3K (T2),Support,Laughter (笑),Instant,Average,Short,Low,Stay (Counter),N/A,N/A,N/A,N/A,Ground Only,"STAY: Counter, 38 DMG MAX"
Eyeshield 21,Mamori,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,N/A,N/A,N/A,Status Effects,N/A,N/A,RESIST: Status Effects
Eyeshield 21,Suzuna,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: No Switch/Supports
Eyeshield 21,Komusubi,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,No Pushback,N/A,N/A,N/A,N/A,N/A,NO PUSHBACK: Ground
Eyeshield 21,Sakuraba,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Attack/Defend Chain Attacks
Eyeshield 21,Taki,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Consecutive Specials
Eyeshield 21,Doburoku-Sensei,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Attack/Defend against Supports
Eyeshield 21,Yukimitsu,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See Invisible Komas,N/A,PASSIVE: See Invisible Komas
Eyeshield 21,Ishimaru,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: No Movement/Attacking
I S,Iori,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,Max HP Up,N/A,N/A,N/A,N/A,N/A,ATTRIBUTE: Max HP UP
I S,Iori,2 Koma,2K (T1),Support,Laughter (笑),Average,N/A,Short,N/A,-1 SP Bar,N/A,N/A,N/A,N/A,Ground Only,ON HIT: -1/-2 SP BAR (Female/Male)
I S,Iori,3 Koma,3K (T2),Support,Laughter (笑),Average,N/A,Short,N/A,Heal,ATK Up,N/A,N/A,N/A,Ground Only,ON HIT: Heal/Heal + ATK Up (Female/Male)
I S,Itsuki,1 Koma,1K,Help,Neutral (なし),N/A,N/A,N/A,N/A,SP Up,N/A,N/A,N/A,N/A,N/A,SP UP: Consecutive Specials
I S,Itsuki,2 Koma,2K (T1),Support,Laughter (笑),Fast,N/A,Short,N/A,-1 SP Bar,N/A,Confusion,N/A,N/A,Ground Only,"ON HIT: Confusion, -1 SP BAR"
I S,Itsuki,3 Koma,3K (T2),Support,Laughter (笑),Fast,N/A,Short,N/A,-1 SP Bar,N/A,Paralysis,N/A,N/A,Ground Only,"ON HIT: Paralysis, -1 SP BAR"
